CLUSTER_ID,PLATFORM,CLUSTER_VERSION,CLUSTER_INITIAL_VERSION,CLUSTER_NODE_COUNT,CLUSTER_INSTALLED_AT,SUPPORT,HOSTNAME,NODE_ROLES,NODE_ARCHITECTURE,LAST_UPDATE_RECEIVED,TOTAL_PHYSICAL_CPU_CORES,TOTAL_VIRTUAL_VCPUS,TOTAL_MEMORY,TOTAL_REQUIRED_SUB_FOR_PHYSICAL_CPU_CORES,TOTAL_REQUIRED_SUB_FOR_VIRTUAL_VCPUS,EUS_TERM1_REQUIRED_SUBS_PHYSICAL_CPU_CORES,EUS_TERM2_REQUIRED_SUBS_PHYSICAL_CPU_CORES,EUS_TERM3_REQUIRED_SUBS_PHYSICAL_CPU_CORES,EUS_TERM1_REQUIRED_SUBS_VIRTUAL_VCPUS,EUS_TERM2_REQUIRED_SUBS_VIRTUAL_VCPUS,EUS_TERM3_REQUIRED_SUBS_VIRTUAL_VCPUS,IS_GRAND_TOTAL
d08824f5-4252-4883-b587-01110c52ef2f,Baremetal,4.20.27,4.19.30,6,2026-06-30 13:57:58 UTC,STANDARD,node-004,worker,AMD64,2026-07-17 11:15:43 UTC,50,0,NotAvailable,25,0,0,0,0,0,0,0,0
d08824f5-4252-4883-b587-01110c52ef2f,Baremetal,4.20.27,4.19.30,6,2026-06-30 13:57:58 UTC,STANDARD,node-005,worker,AMD64,2026-07-17 11:15:43 UTC,50,0,NotAvailable,25,0,0,0,0,0,0,0,0
d08824f5-4252-4883-b587-01110c52ef2f,Baremetal,4.20.27,4.19.30,6,2026-06-30 13:57:58 UTC,STANDARD,node-006,worker,AMD64,2026-07-17 11:15:43 UTC,50,0,NotAvailable,25,0,0,0,0,0,0,0,0
AMD64 GRAND TOTAL LOAD - STANDARD,,,,,,STANDARD,,,AMD64,,150,0,0,75,0,0,0,0,0,0,0,1
AMD64 GRAND TOTAL LOAD - PREMIUM,,,,,,PREMIUM,,,AMD64,,0,0,0,0,0,0,0,0,0,0,0,1
s390x GRAND TOTAL LOAD - STANDARD,,,,,,STANDARD,,,s390x,,0,0,0,0,0,0,0,0,0,0,0,1
s390x GRAND TOTAL LOAD - PREMIUM,,,,,,PREMIUM,,,s390x,,0,0,0,0,0,0,0,0,0,0,0,1
AMD64 SUBSCRIPTION AVAILABLE - STANDARD,,,,,,STANDARD,,,AMD64,,,,,917,0,693,100,200,0,0,0,2
AMD64 SUBSCRIPTION AVAILABLE - PREMIUM,,,,,,PREMIUM,,,AMD64,,,,,985,0,0,1,1,0,0,0,2
s390x SUBSCRIPTION AVAILABLE - STANDARD,,,,,,STANDARD,,,s390x,,,,,18,0,0,0,0,0,0,0,2
s390x SUBSCRIPTION AVAILABLE - PREMIUM,,,,,,PREMIUM,,,s390x,,,,,36,0,0,0,0,0,0,0,2
GAP AMD64 SUBSCRIPTIONS - STANDARD,,,,,,STANDARD,,,AMD64,,,,,-842,0,-693,-100,-200,0,0,0,3
GAP AMD64 SUBSCRIPTIONS - PREMIUM,,,,,,PREMIUM,,,AMD64,,,,,-985,0,0,-1,-1,0,0,0,3
GAP s390x SUBSCRIPTIONS - STANDARD,,,,,,STANDARD,,,s390x,,,,,-18,0,0,0,0,0,0,0,3
GAP s390x SUBSCRIPTIONS - PREMIUM,,,,,,PREMIUM,,,s390x,,,,,-36,0,0,0,0,0,0,0,3
